74 [1, 0.0, 0.9] 2 -0.65 [1, 0.0, 0.9]
75 [1, 0.0, 0.9] 4 -0.3 [2, 0.0, 0.9]
76 [2, 0.0, 0.9] 2 -0.3 [2, 0.0, 0.9]
77 [2, 0.0, 0.9] 2 -0.3 [2, 0.0, 0.9]
78 [2, 0.0, 0.9] 4 -0.45 [3, 0.0, 0.9]
79 [3, 0.0, 0.9] 4 -0.45 [3, 0.5, 0.9]
80 [3, 0.5, 0.9] 0 -0.3 [2, 0.2, 0.9]
81 [2, 0.2, 0.9] 2 -0.3 [2, 0.1, 0.9]
82 [2, 0.1, 0.9] 2 -0.3 [2, 0.1, 0.9]
83 [2, 0.1, 0.9] 2 -0.3 [2, 0.2, 0.9]
84 [2, 0.2, 0.9] 0 -0.15 [1, 0.4, 0.9]
85 [1, 0.4, 0.9] 0 -0.15 [1, 0.4, 0.9]
86 [1, 0.4, 0.9] 2 -0.15 [1, 0.2, 0.9]
87 [1, 0.2, 0.9] 2 -0.15 [1, 0.2, 0.9]
88 [1, 0.2, 0.9] 0 -0.15 [1, 0.1, 0.9]
89 [1, 0.1, 0.9] 3 -0.16666666666666666 [1, 0.0, 1.0]
90 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
91 [1, 0.0, 1.0] 2 -0.16666666666666666 [1, 0.0, 1.0]
92 [1, 0.0, 1.0] 2 -0.16666666666666666 [1, 0.0, 1.0]
93 [1, 0.0, 1.0] 2 -0.16666666666666666 [1, 0.0, 1.0]
94 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
95 [1, 0.0, 1.0] 0 -0.16666666666666666 [1, 0.0, 1.0]
96 [1, 0.0, 1.0] 0 -0.16666666666666666 [1, 0.0, 1.0]
97 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
98 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
99 [1, 0.0, 1.0] 0 -0.16666666666666666 [1, 0.6, 1.0]
100 [1, 0.6, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
101 [1, 0.0, 1.0] 2 -0.16666666666666666 [1, 0.0, 1.0]
102 [1, 0.0, 1.0] 0 -0.16666666666666666 [1, 0.0, 1.0]
103 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
104 [1, 0.0, 1.0] 0 -0.16666666666666666 [1, 0.0, 1.0]
105 [1, 0.0, 1.0] 3 -0.5313712708953915 [1, 0.0, 1.0]
106 [1, 0.0, 1.0] 2 -0.16666666666666666 [1, 0.0, 1.0]
107 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
108 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
109 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
110 [1, 0.0, 1.0] 2 -0.16666666666666666 [1, 0.0, 1.0]
111 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
112 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
113 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
114 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
115 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
116 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
117 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
118 [1, 0.0, 1.0] 0 -0.16666666666666666 [1, 0.0, 1.0]
119 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
120 [1, 0.0, 1.0] 2 -0.16666666666666666 [1, 0.0, 1.0]
121 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
122 [1, 0.0, 1.0] 0 -0.16666666666666666 [1, 0.0, 1.0]
123 [1, 0.0, 1.0] 2 -0.16666666666666666 [1, 0.0, 1.0]
124 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
125 [1, 0.0, 1.0] 3 -0.6666666666666666 [1, 0.0, 1.0]
126 [1, 0.0, 1.0] 2 -0.16666666666666666 [1, 0.0, 1.0]
127 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
128 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
129 [1, 0.0, 1.0] 3 -0.6666666666666666 [1, 0.0, 1.0]
130 [1, 0.0, 1.0] 0 -0.16666666666666666 [1, 0.0, 1.0]
131 [1, 0.0, 1.0] 2 -0.16666666666666666 [1, 0.0, 1.0]
132 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
133 [1, 0.0, 1.0] 2 -0.16666666666666666 [1, 0.0, 1.0]
134 [1, 0.0, 1.0] 0 -0.6666666666666666 [1, 0.0, 1.0]
135 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
136 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
137 [1, 0.0, 1.0] 0 -0.16666666666666666 [1, 0.0, 1.0]
138 [1, 0.0, 1.0] 3 -0.6666666666666666 [1, 0.0, 1.0]
139 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
140 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
141 [1, 0.0, 1.0] 0 -0.16666666666666666 [1, 0.0, 1.0]
142 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
143 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
144 [1, 0.0, 1.0] 2 -0.16666666666666666 [1, 0.0, 1.0]
145 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
146 [1, 0.0, 1.0] 3 -0.6666666666666666 [1, 0.0, 1.0]
147 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
148 [1, 0.0, 1.0] 2 -0.6666666666666666 [1, 0.0, 1.0]
149 [1, 0.0, 1.0] 3 -0.16666666666666666 [1, 0.0, 1.0]
